lat,lon,alt,dop,speed
66.0003,19.353472,349.696,2.78,0.286
66.000215,19.353479,334.172,4.6,0.806
66.000324,19.353383,368.347,4.63,0.051
66.000219,19.353717,354.499,4.74,0.073
66.000275,19.35247,328.411,4.03,0.456
66.000394,19.353089,349.721,1.92,0.038
66.000382,19.353113,345.669,1.69,0.005
66.000338,19.353578,311.963,3.36,0.545
66.000289,19.353175,356.125,1.76,0.351
66.000224,19.353317,353.249,3.91,1.052
66.000295,19.353239,329.126,8.17,0.044
66.000205,19.353389,394.978,5.27,0.178
66.000373,19.353131,344.378,2.84,0.024
66.000313,19.353104,344.38,2.23,0.063
66.000409,19.353141,325.311,3.36,0.071
66.000438,19.353337,348.879,2.55,1.145
66.000259,19.352744,359.922,2.6,1.176
66.000371,19.353087,351.337,1.84,0.042
66.000364,19.353106,353.151,4.09,0.194
66.000429,19.352275,342.778,5.69,0.021
66.000637,19.35215,353.091,5.52,0.782
66.000417,19.352608,352.614,9.42,0.256
66.000395,19.352522,354.604,5.95,0.531
66.000444,19.353277,361.299,8.04,0.451
66.000417,19.353044,342.332,5.23,0.333
66.00041,19.353153,347.018,4.81,0.572
66.000323,19.352896,353.323,4.21,0.908
66.000311,19.352656,354.576,1.88,0.024
66.000345,19.352573,356.279,3.75,0.111
66.000268,19.352671,347.674,3.46,0.106
66.000159,19.352613,361.063,9.67,3.14
66.00043,19.352643,366.144,2.12,0.111
66.000428,19.352663,363.34,2.87,0.367
66.00042,19.352531,351.914,2.53,0.071
66.000374,19.352548,349.993,3.92,0.523
66.000315,19.352745,355.845,7.14,0.415
66.000401,19.352623,353.107,6.18,0.061
66.000423,19.35266,350.535,5.93,0.274
66.000369,19.352645,350.807,1.67,0.016
66.000373,19.35266,345.264,4.81,0.046
66.000335,19.352795,340.697,3.34,0.176
66.000399,19.352484,342.101,3.15,0.222
66.000445,19.35259,351.855,2.92,0.256
66.000563,19.352114,343.803,6.73,0.082
66.000483,19.35182,347.802,4.69,0.086
66.000317,19.352846,347.669,2.54,0.012
66.000426,19.35235,338.794,5.05,0.111
66.000498,19.352629,363.153,3.4,0.34
66.000349,19.352279,338.355,3.8,0.065
66.000581,19.352213,347.81,3.7,0.082
66.000534,19.352301,345.412,2.99,0.286
66.000386,19.352347,349.648,2.69,0.204
66.000773,19.354787,368.046,5.0,0.678
66.000329,19.361185,344.364,2.2,0.013
66.000223,19.363595,342.679,2.72,0.631
66.000229,19.363865,351.3,4.84,0.024
66.000476,19.365369,352.673,5.63,0.015
66.000672,19.365385,331.149,3.7,0.015
